SID,Date,category,name,value,item,tdif,delta_value
882,2015-11-14T04:45:00Z,pers,C,2.5,C,13.316666666666666,0.4693366708385482
882,2015-11-14T18:04:00Z,pers,C,8.75,C,23.95,0
882,2015-11-15T18:01:00Z,pers,C,8.75,C,7.033333333333333,0.17772511848341233
882,2015-11-16T01:03:00Z,pers,C,10,C,16.95,-0.07374631268436578
882,2015-11-17T19:43:00Z,pers,C,10,C,1.3,0
882,2015-11-17T21:01:00Z,pers,C,10,C,5.166666666666667,-0.48387096774193544
882,2015-11-18T02:11:00Z,pers,C,7.5,C,1.1166666666666667,1.1194029850746268
882,2015-11-18T03:18:00Z,pers,C,8.75,C,15.683333333333334,0
882,2015-11-18T18:59:00Z,pers,C,8.75,C,3.05,-0.4098360655737705
882,2015-11-18T22:02:00Z,pers,C,7.5,C,2.9,0.4310344827586207
882,2015-11-19T00:56:00Z,pers,C,8.75,C,17.166666666666668,0
882,2015-11-19T18:06:00Z,pers,C,8.75,C,5.966666666666667,0
882,2015-11-20T00:04:00Z,pers,C,8.75,C,23.95,-0.05219206680584551
882,2015-11-21T00:01:00Z,pers,C,7.5,C,3.3,-0.7575757575757576
882,2015-11-21T03:19:00Z,pers,C,5,C,15.966666666666667,0.15657620041753653
882,2015-11-21T19:17:00Z,pers,C,7.5,C,4.883333333333334,-1.023890784982935
882,2015-11-22T00:10:00Z,pers,C,2.5,C,3.1166666666666667,1.6042780748663101
882,2015-11-22T03:17:00Z,pers,C,7.5,C,20.833333333333332,0
882,2015-11-23T00:07:00Z,pers,C,7.5,C,3.7333333333333334,0.33482142857142855
882,2015-11-23T03:51:00Z,pers,C,8.75,C,15.45,-0.08090614886731393
882,2015-11-23T19:18:00Z,pers,C,7.5,C,2.25,0.5555555555555556
882,2015-11-23T21:33:00Z,pers,C,8.75,C,3.25,0
882,2015-11-24T00:48:00Z,pers,C,8.75,C,19.083333333333332,-0.06550218340611354
882,2015-11-25T20:36:00Z,pers,C,6.25,C,1.2833333333333334,0.9740259740259739
882,2015-11-25T21:53:00Z,pers,C,7.5,C,5.366666666666666,0
882,2015-11-28T03:15:00Z,pers,C,3.75,C,16.233333333333334,0.30800821355236135
882,2015-11-28T19:29:00Z,pers,C,8.75,C,23.3,0
882,2015-11-29T18:47:00Z,pers,C,8.75,C,2.4166666666666665,-1.0344827586206897
882,2015-11-29T21:12:00Z,pers,C,6.25,C,3.716666666666667,0.3363228699551569
882,2015-11-30T00:55:00Z,pers,C,7.5,C,3.6,0
882,2015-11-30T04:31:00Z,pers,C,7.5,C,13.7,0.09124087591240876
882,2015-11-30T18:13:00Z,pers,C,8.75,C,3.8833333333333333,-0.3218884120171674
882,2015-11-30T22:06:00Z,pers,C,7.5,C,3.066666666666667,-2.0380434782608696
882,2015-12-02T04:05:00Z,pers,C,6.25,C,14.033333333333333,-0.2672209026128266
882,2015-12-02T18:07:00Z,pers,C,2.5,C,3.033333333333333,0.4120879120879121
882,2015-12-02T21:09:00Z,pers,C,3.75,C,3.4166666666666665,1.829268292682927
882,2015-12-03T00:34:00Z,pers,C,10,C,23.466666666666665,-0.10653409090909091
882,2015-12-04T00:02:00Z,pers,C,7.5,C,4.216666666666667,0.2964426877470356
882,2015-12-04T04:15:00Z,pers,C,8.75,C,13.783333333333333,0
882,2015-12-04T18:02:00Z,pers,C,8.75,C,3.05,-0.819672131147541
882,2015-12-04T21:05:00Z,pers,C,6.25,C,7.1,0.5281690140845071
882,2015-12-05T04:11:00Z,pers,C,10,C,15.233333333333333,-0.2461706783369803
